id,name,north,south,east,west,Location Lat,Location Long
70,"Marshall Fields, University Of California Santa Cruz, Santa Cruz Co., California, Usa",37.0204,37.0019,-122.053,-122.08,37.01115,-122.0665
72,"University Of California Santa Cruz (Uc Santa Cruz) (Ucsc), Santa Cruz Co., California, Usa",37.0035,36.9773,-122.048,-122.07,36.9904,-122.059
73,"Cyo Mcgucken Camp, Occidental, Sonoma Co., California, Usa",38.3975,38.3914,-122.936,-122.945,38.39445,-122.9405
74,"Armstrong Redwoods State Natural Reserve, Sonoma Co., California, Usa",38.5519,38.5307,-123.001,-123.018,38.5413,-123.0095
75,"Bear Valley, Point Reyes National Seashore, Marin Co., California, Usa",38.0422,38.0371,-122.804,-122.815,38.03965,-122.8095
76,"Russian Gulch State Park, Mendocino Co., California, Usa",39.3356,39.3246,-123.751,-123.813,39.3301,-123.782
77,"Occidental, Sonoma Co., California, Usa",38.4149,38.4001,-122.929,-122.957,38.4075,-122.943
78,"Wildcat Mountain State Park, Vernon Co., Wisconsin, Usa",43.7205,43.6748,-90.5219,-90.6,43.69765,-90.56095
80,"Bridle Trails State Park, King Co., Washington, Usa",47.661,47.6463,-122.164,-122.186,47.65365,-122.175
81,"Oakdale Dr., Cornelia, Georgia, Usa",34.5447,34.5414,-83.5085,-83.5112,34.54305,-83.50985
82,"Whitethorn, California, Usa",40.0318,40,-123.928,-123.952,40.0159,-123.94
83,"Sanctuary Forest, Near Whitethorn, Humboldt Co., California, Usa",40.0071,40,-123.928,-123.944,40.00355,-123.936
84,"Apalachicola National Forest, Wakulla Co., Florida, Usa",30.302,29.971,-84.374,-84.738,30.1365,-84.556
86,"Sycamore Grove Park, Livermore, Alameda Co., California, Usa",37.6452,37.6251,-121.755,-121.783,37.63515,-121.769
88,"Raquette Lake, Hamilton Co., New York, Usa",43.8811,43.78,-74.5683,-74.6974,43.83055,-74.63285
90,"Fauntleroy Park, Seattle, King Co., Washington, Usa",47.5216,47.5167,-122.379,-122.386,47.51915,-122.3825
91,"Briceland, California, Usa",40.1109,40.1029,-123.896,-123.91,40.1069,-123.903
92,"Barton Flats, San Bernardino National Forest, San Bernardino Co., California, Usa",34.1874,34.154,-116.827,-116.913,34.1707,-116.87
93,"Healdsburg, Sonoma Co., California, Usa",38.6434,38.593,-122.829,-122.894,38.6182,-122.8615
97,"Forestville, Sonoma Co., California, Usa",38.5033,38.4724,-122.89,-122.922,38.48785,-122.906
100,"Cypress Black Bayou Park, Bossier Parish, Louisiana, Usa",32.716,32.6501,-93.6403,-93.7003,32.68305,-93.6703
102,"Redwood Valley, Mendocino Co., California, Usa",39.2755,39.2543,-123.188,-123.211,39.2649,-123.1995
