Year,Location,Value
2017,AL,65.0333
2017,AR,63.0333
2017,AZ,62.5417
2017,CA,60.3417
2017,CO,47.925
2017,CT,50.925
2017,DE,57.625
2017,FL,72.8417
2017,GA,65.825
2017,IA,44.2583
2017,ID,54.3917
2017,IL,53.975
2017,IN,50
2017,KS,56.5
2017,KY,57.8167
2017,LA,68.7167
2017,MA,42.3667
2017,MD,56.6833
2017,ME,49.575
2017,MI,46.2917
2017,MN,42.6333
2017,MO,65.775
2017,MS,57.15
2017,MT,43.175
2017,NC,50.675
2017,ND,52.2167
2017,NE,44.9333
2017,NH,54.5917
2017,NJ,56.3833
2017,NM,46.9167
2017,NV,61
2017,NY,42.0083
2017,OH,53.225
2017,OK,61.8083
2017,OR,48.0333
2017,PA,50.6083
2017,RI,51.5333
2017,SC,65.0667
2017,SD,46.7667
2017,TN,59.9667
2017,TX,67.3167
2017,UT,50.7167
2017,VA,43.8
2017,VT,57.3083
2017,WA,46.8167
2017,WI,54.0083
2017,WV,44.7167
2017,WY,43.2
