Year,Location,Value
2016,AL,65.3417
2016,AR,62.175
2016,AZ,62.7917
2016,CA,60.1333
2016,CO,47.2833
2016,CT,51.775
2016,DE,57.3667
2016,FL,72.4667
2016,GA,65.7917
2016,IA,45.0917
2016,ID,54.7333
2016,IL,54.225
2016,IN,50.7167
2016,KS,57.1667
2016,KY,57.925
2016,LA,68.7417
2016,MA,43.2583
2016,MD,56.4667
2016,ME,50.3167
2016,MI,47.3667
2016,MN,44.5667
2016,MO,65.9083
2016,MS,57.4417
2016,MT,44.625
2016,NC,51.65
2016,ND,51.9333
2016,NE,45.7333
2016,NH,54.95
2016,NJ,55.525
2016,NM,47.6417
2016,NV,60.8417
2016,NY,44.3667
2016,OH,53.575
2016,OK,62.3083
2016,OR,48.7667
2016,PA,50.9333
2016,RI,52.2083
2016,SC,64.8583
2016,SD,48.35
2016,TN,60.3
2016,TX,67.15
2016,UT,50.2333
2016,VA,44.65
2016,VT,57.1167
2016,WA,48.575
2016,WI,54.1417
2016,WV,46.1917
2016,WY,43.9083
